Timestamp,Sex,Age,Status,Satisfaction,,Do you feel safe in Split?,Perception of police?,,Mobile phone,Landline,Laptop,Internet Cafe,Cable TV,Satelite TV
07/11/2020 17:47:05,1,3,2,3,,5,3,,3,1,3,1,2,1
07/11/2020 17:56:29,2,3,2,2,,3,3,,3,1,5,1,1,1
07/11/2020 18:12:50,1,4,4,1,,3,2,,5,2,1,1,3,1
07/11/2020 18:13:29,2,3,2,2,,2,4,,4,1,4,1,1,1
07/11/2020 18:17:42,2,2,2,2,,3,1,,5,2,3,1,3,4
07/11/2020 18:20:48,2,3,3,2,,2,2,,5,1,3,1,1,1
07/11/2020 18:36:02,1,3,2,4,,5,4,,1,4,1,4,3,1
07/11/2020 18:50:09,2,3,2,4,,4,4,,4,2,3,3,3,1
07/11/2020 18:54:42,2,3,3,2,,4,4,,2,5,3,4,5,2
07/11/2020 19:35:37,1,4,4,1,,5,4,,4,2,4,1,4,1
07/11/2020 20:00:32,2,3,4,2,,4,2,,5,1,1,1,4,1
07/11/2020 20:21:48,2,3,2,2,,3,3,,5,1,3,1,1,5
07/11/2020 20:24:10,2,3,2,2,,3,3,,5,2,3,1,1,5
07/11/2020 20:39:00,2,3,3,2,,4,2,,5,1,3,1,2,2
07/11/2020 20:40:39,2,3,2,2,,4,4,,4,4,3,2,5,1
07/11/2020 21:25:39,2,3,2,3,,4,4,,5,1,4,1,3,1
07/11/2020 21:30:52,1,3,2,3,,3,3,,2,1,2,1,5,1
07/11/2020 21:41:55,2,1,1,3,,4,3,,5,1,5,3,1,1
08/11/2020 00:29:19,2,3,3,1,,4,3,,3,1,1,1,1,1
08/11/2020 05:30:56,1,4,4,1,,5,4,,4,2,4,1,4,1
08/11/2020 10:02:18,1,3,3,2,,3,3,,5,2,5,1,4,1
08/11/2020 14:29:15,2,1,1,3,,4,3,,5,1,5,3,1,1
08/11/2020 15:39:11,2,4,4,1,,3,3,,5,1,1,1,2,1
08/11/2020 19:54:37,2,4,4,2,,2,2,,3,3,4,1,1,1
09/11/2020 16:51:41,2,3,2,3,,3,3,,5,1,5,1,5,1
09/11/2020 18:45:28,2,4,4,4,,4,4,,3,1,4,1,1,1
09/11/2020 21:32:23,1,3,2,2,,3,2,,3,1,1,1,1,2
